
File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\gfx_system.cpp,76,34,19,5,15,1,27,69,12,39
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\logic.cpp,270,154,90,21,35,3,81,325,12,30
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\main.cpp,73,51,37,1,20,0,2,20,0,0
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\common.h,32,12,5,0,8,0,12,34,12,34
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\cube.h,54,31,14,0,11,0,12,31,12,31
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\game.h,101,68,37,0,19,2,14,42,12,34
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\gfx_elements.h,30,11,4,0,7,0,12,33,12,33
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\gfx_sprite.h,35,16,10,0,7,1,12,34,12,32
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\gfx_system.h,24,7,2,0,5,0,12,39,12,39
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\logic.h,43,23,6,0,7,0,13,37,12,31
C:\Program Files\Microsoft Visual Studio\MyProjects\PrimaryCubes3D\simple BACKUP\session.h,47,22,12,0,9,0,16,43,12,32
