Word,Count
searching,6
==================================================================================,6
Frame-based,6
functionality,6
Flags,6
distance,6
dual,6
beneath,6
pCurrentCube->gridPosition.yRow,6
state,6
Studio\MyProjects\PrimaryCubes3D\gfx_system.h,6
after,6
static,6
pCurrentCube->gridPosition.xCol,6
10/06/06,6
Allegro,6
booleans,6
if(,6
update,6
away,6
give,6
over,6
10/15/06,6
video,6
destination,6
time,5
&pGame->pGameCubes[,5
regulated,5
next,5
move,5
search,5
can't,5
Main,5
another,5
which,5
draws,5
GFX_ELE_DrawFullCube,5
size,5
set,5
Frees,5
pCube->cubeSprite[,5
info,5
handle,5
Calcuates,4
dynamic,4
Makes,4
underwater,4
location,4
completed,4
fonts,4
header,4
other,4
>>=,4
you,4
======================================================================,4
now,4
font.h,4
numerical,4
map,4
========================================================================================,4
struts/associated..,4
stored,4
code,4
average,4
developer,4
fix,4
dev,4
can,4
GUI.h,4
(0_o),4
==================================================================,4
G_SyncSprite,4
transfer,4
10/13/06,4
loop,4
wait,4
newWaterBuffer->line[,4
compute,4
management,4
frame,4
Studio\MyProjects\PrimaryCubes3D\underwater_level.h,4
fishes,4
loaded,4
Studio\MyProjects\PrimaryCubes3D\GUI.h,4
around,4
"take,",4
step,4
stay,4
3;,4
it's,4
stuff..,4
=============================================================================,4
light,4
010/13/06,4
find,4
10/22/06,4
gfx_font.h,4
"precalcs,libary",3
array,3
cell!!!,3
pCurrentCube->gridPosition.yRow++;,3
limited,3
&,3
Displayed,3
Debugging,3
Used,3
9/28/06,3
being,3
clears,3
min/max,3
5,3
6,3
connected,3
"second,",3
G_Shutdown,3
I,3
multiple,3
].alive,3
RESTRICT,3
Shutdown,3
maybe,3
acts,3
seperate,3
exsists,3
returns,3
occupied..,3
Secondary,3
GFX_SPR_LoadSprite,3
possiblities,3
common.h,3
MOVE,3
Controls/normalizes,3
G_DrawCubes,3
..,3
//,3
work,3
USING,3
excluding,3
load/display/manipulate,3
recalculated,3
"logic/processing,init,shutdown,'big-picture'",3
EXTREME,3
logic.h,3
very,3
=============================================,3
==========,3
lookups,3
Do,3
IN,3
'c_true',3
*FIXED*,3
IS,3
surround,3
Create,3
pGameCubes;,3
NO,3
Sets,3
==============================================,3
CUSTOM,3
table,3
directly,3
"grid,",3
able,3
kill,3
GL_GenerateColorTable,3
processing/deletion,3
GL_AddCube,3
go,3
whichever,3
options,3
COL,3
primary,3
gfx_system.h,3
here,3
cube.h,3
moving,3
pseudo-random,3
vertical,3
Studio\MyProjects\PrimaryCubes3D\logic.cpp,3
GL_CheckDirections(,3
required..,3
horizontal,3
face,3
GFX_ELE_DrawCube,3
GFX_SYS_TimerFunction,3
"pass,",3
Cube_t**,3
Studio\MyProjects\PrimaryCubes3D\session.h,3
NEIGHBOORING,3
G_ResetSession,3
either,3
'c_false',3
G_ResetCubes,3
Adds,3
GFX_ELE_DrawGameGrid,3
possiblities/position,3
calculate/update,3
"linear,",3
dimensions,3
sound..,3
appropiate,3
sync-sprite,3
variable,3
referenced,3
Add,3
Preform,3
will,3
puposes,3
play,3
'x-factor',3
pCube,3
brief,3
MOVEMENT,3
asset,3
09/21/06,3
Garbage,3
pCube->position.yPosition;,3
buffer(s),3
Studio\MyProjects\PrimaryCubes3D\common.h,3
dead,3
deny,3
generated,3
Considers,3
gfx_elements.cpp,3
FROM,3
GFX_SYSTEM_SetVideoMode,3
pGame->pGameCubes,3
Studio\MyProjects\PrimaryCubes3D\gfx_sprite.c,3
lookup,3
reason,3
Determines,3
'push',3
prepares,3
removes,3
Studio\MyProjects\PrimaryCubes3D\gfx_sprite.h,3
pick,3
helper,3
controls,3
gfx_system.cpp,3
CHANGE!!,3
"types,",3
remaining,3
failed,3
ACCORDING,3
default,3
======================================================================================,3
consider,3
"fails,",3
c_false;,3
any,3
allocated,3
G_ClearLinks,3
'allegro_init',3
].currentPosition.yPosition,3
G_RemoveLinks,3
without,3
pGameGrid[,3
stops,3
Commonly,3
free,3
ABLE,3
recommend,3
but,3
on..,3
GL_GAME_DIRECTION_*,3
!pCube->gridPosition.yRow,3
G_RunLogic,3
GL_DeleteCube(,3
passes,3
down..,3
G_FindAllLinks,3
"processed,",3
interrupt,3
col,3
restrict,3
before,3
*pCurrentCube;,3
direction,3
entry,3
once,3
GFX_SPR_DeleteSprite,3
logic.cpp,3
LONGER,3
GL_CheckDirections,3
structs,3
Studio\MyProjects\PrimaryCubes3D\logic.h,3
Removes,3
like-colored,3
G_LinearSearch,3
CUBE_FRONT,3
hehehh..,3
only,3
RESTRICTIONS,3
while,3
variables,3
onto,3
finished,3
wrapper,3
Deallocate,3
After,3
thier,3
Studio\MyProjects\PrimaryCubes3D\cube.h,3
doesn't,3
G_GameTimer,3
error,3
"right,",3
"1/2,",3
session.h,3
Studio\MyProjects\PrimaryCubes3D\gfx_elements.h,3
surface,3
below,3
",grid",3
completely,3
G_Init,3
sturct,3
SEC,3
scoring,3
x/y,3
Same,3
game.h,3
ROW,3
empty,3
seach,3
via,3
Hmmm..,3
check,3
how,3
Cube_t*,3
callback,3
played,3
gfx_elements.h,3
player,3
false,3
logging,3
return,3
Assumes,3
named,3
devices,3
hard-coded..,3
floating..,3
===============================================================,3
preveious,3
Generate,3
Studio\MyProjects\PrimaryCubes3D\gfx_elements.cpp,3
directions,3
Final,3
GL_DeleteCube,3
eliminated,3
c_boolean,3
G_FindRearLinks,3
down,3
assign,3
function,3
restricting,3
GFX_SPR_DrawSprite,3
GL_GenerateCube,3
CELLS,3
stagnant,3
game.cpp,3
logic/processing,3
see,3
up..,3
flexablity,3
comes,3
G_GameStartSession,3
supported,3
"init,pre-caching",3
objects,3
Initalized,3
Debug,3
"G_FindLinks,",3
HOOKS,3
collection,3
Timer,3
Evaluates,3
c_true,3
Resets,3
clock,3
many,3
ONLY,3
main,3
grid-space,3
later..,3
"moving,",3
G_TestIfSessionOver,3
unfortante..,3
off-screen,3
APIs,3
(pCube_t)pEasyGameCubes;,3
per,3
"down,",3
prompt,3
c_true;,3
G_MovePlayer,3
reacts,3
pGame->pGameCubes[,3
"""boid""",2
form,2
modified,2
"on,",2
off,2
"pattern,",2
go..,2
evaluate,2
EVERYWHERE!!!!,2
center,2
"c_true,",2
home..,2
strives,2
put,2
lazy,2
goes,2
"argruably,",2
dev_intro.cpp,2
Studio\MyProjects\PrimaryCubes3D\font.cpp,2
hehehehehehhh.,2
CIN_RunIntro();,2
maps,2
mom,2
locations,2
CIN_RunIntro,2
CUBE_BACK,2
may,2
"for,",2
sync,2
special,2
"yourself,",2
draw,2
LVL_UnderWater_InitFish,2
???,2
let,2
Take,2
WALKING,2
otherwise,2
calculations,2
initialize,2
deltaX,2
AI_FishThink_MoveToTarget,2
xCol,2
something,2
displays,2
pCube->gridPosition.yRow,2
Monkey,2
company_intro.h,2
thx,2
Finds,2
:Font,2
try,2
deltaY,2
destory,2
readkey();,2
"code,",2
its,2
CIN_MonkeyLogic,2
G_SyncSprites,2
previous,2
moment,2
under,2
back,2
Confines,2
gfx_elements..,2
strenght,2
"link,",2
"animate,display",2
final,2
LVL_UnderWater_CalcNewWater();,2
AI_FishThink_MoveToTarget(,2
range,2
has,2
"x,y",2
Code,2
'global',2
bit..,2
sizeof(Cube_t),2
string,2
get,2
]=============================================================,2
vector,2
lastest,2
cords,2
averaged,2
stays,2
Fish,2
exclude,2
CIN_LoadFrames,2
intensity,2
Updates,2
bumpmap,2
average;,2
back..,2
remove,2
pass,2
LVL_UnderWater_LoadFrames,2
G_LoadCubes,2
offscreen,2
Advances,2
]================================================================,2
dev-intro,2
CIN_LoadFrames();,2
due,2
ground,2
CIN_DrawMonkey,2
call,2
CIN_CleanUp();,2
DIN_Animate(,2
certain,2
fixed,2
DIN_CleanUp();,2
lightmap,2
MONKEYS..,2
GFX_FT_DrawChar,2
&pCurrentGame->pGameCubes[,2
Cleans,2
boids,2
pCube->gridPosition.xCol,2
clear,2
GL_FindAllLinks,2
gameFont[,2
Fix,2
given,2
dev_intro.h,2
swim,2
rest,2
Studio\MyProjects\PrimaryCubes3D\dev_intro.cpp,2
"again,",2
]================================================,2
Studio\MyProjects\PrimaryCubes3D\dev_intro.h,2
*HACK*,2
shall,2
Studio\MyProjects\PrimaryCubes3D\gfx_font.cpp,2
Studio\MyProjects\PrimaryCubes3D\company_intro.h,2
G_DrawBackGround,2
DIN_LoadFrames,2
psuedo-bump,2
bit,2
stone,2
GFX_ELE_DrawCube(,2
peturbed,2
image,2
]=====================================================,2
FT_LoadGameFont,2
handler,2
z-component,2
yRow,2
beggining,2
LVL_UnderWater_MoveFish,2
verify,2
indicie,2
flags,2
same,2
LVL_UnderWater_MaintainDistance,2
characters,2
mode..,2
assigned,2
save,2
resources/content,2
pixel,2
10/08/06,2
monkeys,2
colors,2
DIN_LoadFrames();,2
GFX_FT_DrawString,2
rendered,2
here..,2
clamp,2
SMASHER,2
idle.yPosition,2
AI_FishThink_Restrain,2
deletion,2
Drips,2
"ticker,",2
LVL_UnderWater_PaintWater,2
FT_RemoveGameFont,2
routine...,2
scaled,2
underwater_level.h,2
based,2
turned,2
really,2
ready,2
GUI_ELE_DrawGUI,2
boid,2
maintain,2
GUIs,2
restraint,2
breathing,2
walk,2
handling,2
file,2
developer(s),2
loops,2
underwater_level.cpp,2
tolerance,2
nothing,2
LVL_UnderWater_DrawFish,2
extreme,2
Funny,2
DIN_CleanUp,2
wrap,2
we,2
"macros,prototypes",2
GUI_ELE_LoadGameGUI,2
predetermined,2
content,2
within,2
DIN_DrawBumpedFrame,2
"far,",2
inconsistencies,2
calculated,2
sure,2
AI_FishThink_Idle,2
pGame,2
alpha,2
LVL_UnderWater_Rain,2
define,2
necessary,2
do,2
POOR,2
erased,2
algo(s),2
front,2
bump,2
LVL_UnderWater_CalcNewWater,2
an,2
MONKEYS,2
font-set,2
];,2
[10/13/06,2
steps,2
DIN_Animate,2
surrounding,2
towards,2
Studio\MyProjects\PrimaryCubes3D\company_intro.cpp,2
[10/06/06,2
If,2
delta,2
destroy_bitmap(,2
]==============================================================,2
stages,2
works,2
GFX_ELE_DrawCubeSprite,2
"fish,",2
>>,2
take,2
running,2
:),2
LVL_UnderWater_MaintainVelocity,2
memset(,2
Places,2
2),2
Load,2
LVL_UnderWater_Rain();,2
0;,2
character,2
Studio\MyProjects\PrimaryCubes3D\font.h,2
breaths,2
simple,2
"),",2
((,2
"normal,",2
LVL_UnderWater_PaintWater(1.0f,2
variances,2
behavior,2
seperately,2
different,2
LVL_UnderWater_FindSharedCenter,2
IDLE,2
CIN_CleanUp,2
Runs,2
address,2
global,2
index,2
Studio\MyProjects\PrimaryCubes3D\gfx_font.h,2
additional,2
company_intro.cpp,2
inside,2
Releases,2
create,2
keep,2
closer,2
slope,2
Simulated,2
pageOne,1
].currentPosition.xPosition,1
].xFactor,1
currentGame.gfxConfig.yDimen,1
=============================================================,1
pCube->position.xPosition;,1
GFX_ELE_DrawGameGrid(,1
pCurrentGame->currentSession.x,1
&currentGame,1
currentGame.gfxConfig.xDimen,1
blit(,1
